publisher;category
nytimes.com;US_EU national
washingtonpost.com;US_EU national
theguardian.com;US_EU national
bloomberg.com;US_EU national
forbes.com;US_EU national
ft.com;US_EU national
theatlantic.com;US_EU national
wsj.com;US_EU national
vox.com;US_EU digital
foreignpolicy.com;US_EU national
scmp.com;ROW national
theconversation.com;US_EU digital
telegraph.co.uk;US_EU national
cnet.com;US_EU digital
economist.com;US_EU national
afr.com;ROW national
businessinsider.com;US_EU digital
newstatesman.com;US_EU national
wired.com;US_EU niche
irishtimes.com;US_EU national
politico.eu;US_EU digital
qz.com;US_EU digital
straitstimes.com;ROW national
newyorker.com;US_EU regional
theglobeandmail.com;US_EU national
thedailybeast.com;US_EU digital
techcrunch.com;US_EU niche
japantimes.co.jp;ROW national
stuff.co.nz;US_EU niche
bbc.com;US_EU national
reuters.com;US_EU national
economictimes.indiatimes.com;ROW national
cnn.com;US_EU national
marketbeat.com;US_EU niche
theverge.com;US_EU niche
independent.co.uk;US_EU national
thehindu.com;ROW national
middleeasteye.net;"ROW digital
"
3dprintingindustry.com;US_EU niche
techxplore.com;US_EU niche
medium.com;US_EU digital
spacenews.com;US_EU niche
bangkokpost.com;ROW national
thedrum.com;US_EU niche
haaretz.com;ROW national
nymag.com;US_EU regional
thehill.com;US_EU regional
theringer.com;US_EU niche
hollywoodreporter.com;US_EU niche
washingtonexaminer.com;US_EU regional
gcn.com;US_EU niche
nationalinterest.org;US_EU niche
venturebeat.com;US_EU niche
time.com;US_EU national
rollingstone.com;US_EU national
techradar.com;US_EU niche
asiatimes.com;ROW national
reason.com;US_EU national
skift.com;US_EU niche
fortune.com;US_EU national
salon.com;US_EU digital
coindesk.com;US_EU niche
hackaday.com;US_EU niche
al-monitor.com;"ROW digital
"
cnbc.com;US_EU national
aspistrategist.org.au;ROW niche
edition.cnn.com;US_EU national
cjr.org;US_EU niche
motherjones.com;US_EU digital
newtimes.co.rw;ROW national
observer.com;US_EU digital
jpost.com;ROW national
thedrive.com;US_EU niche
macleans.ca;US_EU niche
evrensel.net;ROW national
npr.org;US_EU national
nature.com;US_EU niche
birminghammail.co.uk;US_EU regional
3dprint.com;US_EU niche
huffpost.com;US_EU digital
zdnet.com;US_EU niche
theweek.co.uk;US_EU national
seekingalpha.com;US_EU niche
cbsnews.com;US_EU national
axios.com;US_EU digital
spiegel.de;US_EU national
phys.org;US_EU niche
codastory.com;US_EU niche
aljazeera.com;ROW national
yorkshirepost.co.uk;US_EU regional
independent.ie;US_EU national
computerweekly.com;US_EU niche
businesschief.com;US_EU niche
brookings.edu;US_EU niche
scotsman.com;US_EU regional
timesofisrael.com;US_EU national
dawn.com;ROW national
spaceflightnow.com;US_EU niche
fivethirtyeight.com;US_EU digital
popular.info;US_EU niche
prospectmagazine.co.uk;US_EU national
nationalpost.com;US_EU national
shorensteincenter.org;US_EU niche
thetimes.co.uk;US_EU national
adexchanger.com;US_EU niche
counterpunch.org;US_EU digital
standard.co.uk;US_EU regional
theintercept.com;US_EU digital
geekwire.com;US_EU niche
financialexpress.com;ROW niche
novaramedia.com;US_EU digital
rand.org;US_EU digital
lamag.com;US_EU regional
eu.detroitnews.com;US_EU regional
thepointsguy.com;US_EU niche
mashable.com;US_EU niche
thewire.in;"ROW digital
"
deseretnews.com;US_EU regional
investingnews.com;US_EU niche
indypendent.org;US_EU digital
pymnts.com;US_EU niche
nation.co.ke;ROW national
cointelegraph.com;US_EU niche
crainsnewyork.com;US_EU regional
dailysignal.com;US_EU digital
en.mehrnews.com;"ROW digital
"
sundayguardianlive.com;ROW national
badgerherald.com;US_EU regional
voanews.com;US_EU national
udel.edu;US_EU niche
adweek.com;US_EU niche
dw.com;US_EU national
theeastafrican.co.ke;"ROW regional
"
manchestereveningnews.co.uk;US_EU regional
euobserver.com;US_EU digital
tehrantimes.com;ROW national
digitaltrends.com;US_EU niche
datadrivenperspectives.com;US_EU niche
adage.com;US_EU niche
2.lehigh.edu;US_EU niche
barrons.com;US_EU niche
firstdraftnews.org;US_EU niche
gulfnews.com;ROW national
armytimes.com;US_EU niche
scienmag.com;US_EU niche
businessinsider.fr;US_EU digital
multimedia.scmp.com;ROW national
thediplomat.com;ROW national
onezero.medium.com;US_EU digital
slate.com;US_EU digital
csis.org;US_EU niche
thenation.com;US_EU digital
enterpriseiotinsights.com;US_EU niche
theodi.org;US_EU niche
futurism.com;US_EU niche
theoutline.com;US_EU digital
gq-magazine.co.uk;US_EU niche
variety.com;US_EU niche
theglobepost.com;US_EU regional
shropshirestar.com;US_EU regional
dailysabah.com;ROW national
thestreet.com;US_EU niche
realclearpolitics.com;US_EU niche
news.cornell.edu;US_EU niche
thespacereview.com;US_EU niche
opendemocracy.net;US_EU niche
nationalreview.com;US_EU national
blogs.wsj.com;US_EU national
en.businesstimes.cn;ROW national
digiday.com;US_EU niche
belfasttelegraph.co.uk;US_EU regional
insidestory.org.au;"ROW digital
"
anl.gov;US_EU niche
socialmediatoday.com;US_EU niche
beta.theglobeandmail.com;US_EU national
gizmodo.com;US_EU niche
slashgear.com;US_EU niche
benningtonbanner.com;US_EU regional
rte.ie;US_EU national
profgalloway.com;US_EU niche
technologyreview.com;US_EU niche
arstechnica.com;US_EU niche
bourseandbazaar.com;"ROW digital
"
space.com;US_EU niche